library	read_counts
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-PL-A20_1.fastq.gz	23183030
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-JV-J21_2.fastq.gz	20327756
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-RA-M21_2.fastq.gz	27053247
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-JV-A20_2.fastq.gz	23019345
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-PL-J21_1.fastq.gz	19465493
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-HP-M20_1.fastq.gz	23285238
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-GM-A20_2.fastq.gz	23151461
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-AM-M21_2.fastq.gz	19966431
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-GM-M20_2.fastq.gz	25204146
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-HP-M21_2.fastq.gz	21564800
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-GM-M21_2.fastq.gz	26178430
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-AM-M20_2.fastq.gz	19433156
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-RA-M20_1.fastq.gz	20403704
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-PL-M21_1.fastq.gz	27358985
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-VA-J21_2.fastq.gz	27996845
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-PL-J21_1.fastq.gz	26664806
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-HP-M20_1.fastq.gz	23244582
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-GM-M20_1.fastq.gz	21338418
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-AM-M21_1.fastq.gz	26228079
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-JV-A20_2.fastq.gz	3604423
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-JV-J21_1.fastq.gz	26121654
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-PL-A20_2.fastq.gz	23319026
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-RA-M21_2.fastq.gz	20525498
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-VA-A20_2.fastq.gz	20996508
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-PL-M20_2.fastq.gz	23066546
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-HP-J21_2.fastq.gz	27734476
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-RA-M20_1.fastq.gz	23164926
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-HP-M21_2.fastq.gz	27850171
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-AM-A20_1.fastq.gz	19820565
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-AM-M20_1.fastq.gz	22224131
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-GM-M21_1.fastq.gz	27933964
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-RA-J21_2.fastq.gz	20230798
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-AM-A20_1.fastq.gz	20903314
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-JV-M21_2.fastq.gz	25891686
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-RA-J21_2.fastq.gz	25460783
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-RA-A20_1.fastq.gz	22860941
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-PL-M21_1.fastq.gz	21306827
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-VA-M21_1.fastq.gz	27966450
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-AM-J21_2.fastq.gz	26393075
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-RA-M20_1.fastq.gz	22979970
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-PL-M20_2.fastq.gz	20770721
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-HP-J21_2.fastq.gz	26817564
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/Neg_control_1.fastq.gz	26007156
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-VA-M20_1.fastq.gz	23957966
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-JV-M20_2.fastq.gz	28252385
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-HP-A20_1.fastq.gz	23545300
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-JV-A20_2.fastq.gz	22570222
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-PL-J21_1.fastq.gz	26080500
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-HP-M20_1.fastq.gz	20928493
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-GM-A20_2.fastq.gz	21674890
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-PL-M21_1.fastq.gz	26092680
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-AM-J21_1.fastq.gz	20022068
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-VA-M21_2.fastq.gz	25808446
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-RA-J21_2.fastq.gz	19570407
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-JV-M21_1.fastq.gz	20391943
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-HP-M21_2.fastq.gz	26742252
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-AM-A20_1.fastq.gz	22925778
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-GM-A20_2.fastq.gz	20826312
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-HP-A20_2.fastq.gz	23273526
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-JV-M20_1.fastq.gz	22160278
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-BH-M20_2.fastq.gz	25997173
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-PL-M20_2.fastq.gz	22564424
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-HP-J21_2.fastq.gz	25899828
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-GM-J21_1.fastq.gz	19362288
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-RA-M21_2.fastq.gz	25578251
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-AM-J21_2.fastq.gz	19338439
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-PL-M21_2.fastq.gz	25704103
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-VA-M21_1.fastq.gz	28251567
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-RA-A20_1.fastq.gz	19921744
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-RA-J21_2.fastq.gz	25858648
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-GM-M21_1.fastq.gz	23787108
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-AM-M20_1.fastq.gz	20755001
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-AM-A20_1.fastq.gz	22447435
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-JV-M20_2.fastq.gz	23194047
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-GM-A20_1.fastq.gz	23338986
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-HP-A20_1.fastq.gz	23159023
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-BH-M20_1.fastq.gz	23302207
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-HP-J21_2.fastq.gz	27197203
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-PL-M20_2.fastq.gz	24818713
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-PL-A20_2.fastq.gz	23282631
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-VA-M20_2.fastq.gz	3756360
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-JV-J21_1.fastq.gz	20623171
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-GM-J21_1.fastq.gz	22439473
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-RA-J21_1.fastq.gz	20572222
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-AM-A20_2.fastq.gz	23242812
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-JV-M21_1.fastq.gz	26705554
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-RA-A20_1.fastq.gz	24663505
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-PL-M21_1.fastq.gz	19377376
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-VA-M21_1.fastq.gz	27656090
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-AM-J21_2.fastq.gz	21097525
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-PL-M20_1.fastq.gz	20940029
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-HP-J21_1.fastq.gz	22619524
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-GM-J21_1.fastq.gz	27265640
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-BH-M20_1.fastq.gz	23173717
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-GM-M20_2.fastq.gz	23087172
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-AM-M21_2.fastq.gz	27325625
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-HP-A20_1.fastq.gz	23279205
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-JV-M20_2.fastq.gz	23068243
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-VA-J21_1.fastq.gz	28079094
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-AM-M21_2.fastq.gz	26447857
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-JV-A20_1.fastq.gz	24896961
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-PL-J21_2.fastq.gz	24446436
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-HP-M20_2.fastq.gz	24093169
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-GM-M20_2.fastq.gz	28739857
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-PL-A20_2.fastq.gz	22867393
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-JV-J21_1.fastq.gz	26446402
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-RA-M21_2.fastq.gz	26705018
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-RA-M20_2.fastq.gz	27862171
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-HP-M21_2.fastq.gz	27117754
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-GM-M21_1.fastq.gz	26510710
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-AM-M20_1.fastq.gz	23318338
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-JV-M21_1.fastq.gz	23199309
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-RA-M21_1.fastq.gz	25967024
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/Pos_control_2.fastq.gz	27391734
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-VA-A20_1.fastq.gz	23294593
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-JV-J21_1.fastq.gz	28161339
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-PL-A20_2.fastq.gz	23323198
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-HP-M20_1.fastq.gz	26928147
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-PL-J21_1.fastq.gz	25832313
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-JV-A20_2.fastq.gz	23957775
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-GM-M20_2.fastq.gz	21490261
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-BH-M20_1.fastq.gz	22627393
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-AM-M21_2.fastq.gz	27751067
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-JA-M21_1.fastq.gz	26139205
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-HP-A20_1.fastq.gz	24285730
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-VA-J21_1.fastq.gz	21179975
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-JV-M20_2.fastq.gz	28849077
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-AM-M20_1.fastq.gz	22894759
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-HP-M21_1.fastq.gz	21085740
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-GM-M21_1.fastq.gz	26424940
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-VA-M21_1.fastq.gz	19616146
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-RA-M20_1.fastq.gz	25232547
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-AM-J21_2.fastq.gz	25811150
